Time	RGRF_X	RGRF_Y	RGRF_Z	LGRF_X	LGRF_Y	LGRF_Z	GRFNET_X	GRFNET_Y	GRFNET_Z	RCOP_X	RCOP_Y	RCOP_Z	LCOP_X	LCOP_Y	LCOP_Z	COPNET_X	COPNET_Y	COPNET_Z	RFREEMOMENT_Y	LFREEMOMENT_Y
0.000000	-1.224230	340.501874	-18.609253	-4.366746	417.245553	26.931459	-5.590976	757.747457	8.322196	0.268848	0.000000	0.112820	0.269107	0.000000	-0.105970	0.268988	0.000000	-0.007650	2.167050	-0.435676
0.010000	-1.387369	339.481674	-18.490831	-4.641158	417.206628	26.607156	-6.028526	756.688319	8.116320	0.268891	0.000000	0.112756	0.269301	0.000000	-0.105936	0.269114	0.000000	-0.007820	2.162306	-0.422431
0.020000	-1.543984	338.520502	-18.359332	-4.865779	417.103046	26.325943	-6.409762	755.623557	7.966609	0.268920	0.000000	0.112710	0.269474	0.000000	-0.105910	0.269223	0.000000	-0.007969	2.158964	-0.412723
0.030000	-1.686623	337.661175	-18.211992	-5.014342	416.901569	26.118074	-6.700965	754.562752	7.906082	0.268930	0.000000	0.112690	0.269610	0.000000	-0.105898	0.269303	0.000000	-0.008083	2.158320	-0.408216
0.040000	-1.808310	336.919423	-18.061483	-5.094804	416.613275	25.993723	-6.903114	753.532707	7.932241	0.268925	0.000000	0.112697	0.269701	0.000000	-0.105899	0.269353	0.000000	-0.008164	2.161341	-0.408143
0.050000	-1.904793	336.284167	-17.932797	-5.140760	416.286256	25.944484	-7.045553	752.570435	8.011688	0.268920	0.000000	0.112719	0.269745	0.000000	-0.105908	0.269376	0.000000	-0.008218	2.168220	-0.410075
0.060000	-1.976462	335.723833	-17.852733	-5.190654	415.985150	25.950891	-7.167114	751.708994	8.098159	0.268925	0.000000	0.112744	0.269742	0.000000	-0.105917	0.269378	0.000000	-0.008262	2.177912	-0.411429
0.070000	-2.027850	335.194558	-17.836837	-5.267151	415.770880	25.991096	-7.294999	750.965447	8.154260	0.268938	0.000000	0.112762	0.269690	0.000000	-0.105919	0.269357	0.000000	-0.008312	2.188001	-0.410712
0.080000	-2.063931	334.650424	-17.880549	-5.366847	415.688718	26.046855	-7.430775	750.339145	8.166305	0.268941	0.000000	0.112768	0.269587	0.000000	-0.105915	0.269302	0.000000	-0.008383	2.195188	-0.407853
0.090000	-2.085011	334.058151	-17.959574	-5.463260	415.763907	26.105858	-7.548268	749.822058	8.146282	0.268900	0.000000	0.112764	0.269428	0.000000	-0.105913	0.269196	0.000000	-0.008488	2.196384	-0.403704
0.100000	-2.083773	333.415001	-18.039680	-5.519439	416.000197	26.161714	-7.603209	749.415197	8.122031	0.268778	0.000000	0.112755	0.269212	0.000000	-0.105924	0.269022	0.000000	-0.008632	2.189941	-0.399170
0.110000	-2.047359	332.761627	-18.091031	-5.503391	416.379584	26.213173	-7.550748	749.141209	8.122139	0.268551	0.000000	0.112749	0.268943	0.000000	-0.105960	0.268771	0.000000	-0.008810	2.176376	-0.394484
0.120000	-1.964142	332.179033	-18.099937	-5.399916	416.866257	26.263132	-7.364055	749.045289	8.163192	0.268219	0.000000	0.112750	0.268625	0.000000	-0.106020	0.268446	0.000000	-0.009001	2.158159	-0.388946
0.130000	-1.831379	331.765556	-18.072721	-5.214565	417.418059	26.317062	-7.045942	749.183615	8.244340	0.267811	0.000000	0.112761	0.268258	0.000000	-0.106095	0.268060	0.000000	-0.009176	2.138622	-0.381237
0.140000	-1.658844	331.602188	-18.030819	-4.968743	418.003966	26.380658	-6.627587	749.606153	8.349838	0.267368	0.000000	0.112781	0.267836	0.000000	-0.106163	0.267628	0.000000	-0.009307	2.120607	-0.370227
0.150000	-1.465896	331.723390	-18.000432	-4.688814	418.620700	26.457315	-6.154710	750.344090	8.456883	0.266933	0.000000	0.112801	0.267348	0.000000	-0.106205	0.267164	0.000000	-0.009382	2.105517	-0.355959
0.160000	-1.273643	332.108468	-18.001862	-4.395276	419.300332	26.546516	-5.668919	751.408802	8.544655	0.266535	0.000000	0.112810	0.266791	0.000000	-0.106213	0.266678	0.000000	-0.009407	2.093164	-0.340266
0.170000	-1.096881	332.696870	-18.042842	-4.098147	420.104377	26.643788	-5.195029	752.801252	8.600948	0.266186	0.000000	0.112801	0.266174	0.000000	-0.106187	0.266179	0.000000	-0.009406	2.082334	-0.326549
0.180000	-0.940147	333.417536	-18.117658	-3.800692	421.105569	26.742072	-4.740840	754.523113	8.624415	0.265881	0.000000	0.112771	0.265531	0.000000	-0.106141	0.265686	0.000000	-0.009405	2.071608	-0.318627
0.190000	-0.799219	334.216018	-18.211303	-3.507917	422.362663	26.833819	-4.307137	756.578690	8.622516	0.265612	0.000000	0.112729	0.264922	0.000000	-0.106091	0.265226	0.000000	-0.009428	2.060008	-0.319177
0.200000	-0.666049	335.066123	-18.306120	-3.233203	423.895470	26.912975	-3.899252	758.961604	8.606855	0.265381	0.000000	0.112693	0.264413	0.000000	-0.106050	0.264840	0.000000	-0.009480	2.047237	-0.328549
0.210000	-0.533884	335.961979	-18.387902	-2.998456	425.667527	26.976154	-3.532340	761.629518	8.588251	0.265204	0.000000	0.112679	0.264066	0.000000	-0.106027	0.264567	0.000000	-0.009554	2.033556	-0.344552
0.220000	-0.400486	336.896095	-18.449045	-2.828291	427.582407	27.022611	-3.228776	764.478516	8.573565	0.265103	0.000000	0.112694	0.263916	0.000000	-0.106024	0.264438	0.000000	-0.009638	2.019510	-0.363223
0.230000	-0.269438	337.835240	-18.487970	-2.742536	429.495795	27.053312	-3.011972	767.331050	8.565342	0.265103	0.000000	0.112735	0.263971	0.000000	-0.106039	0.264468	0.000000	-0.009718	2.005676	-0.380145
0.240000	-0.150647	338.706950	-18.505908	-2.751207	431.239644	27.069955	-2.901851	769.946610	8.564049	0.265217	0.000000	0.112788	0.264210	0.000000	-0.106069	0.264652	0.000000	-0.009790	1.992531	-0.391753
0.250000	-0.060830	339.404946	-18.503440	-2.853300	432.650324	27.074662	-2.914127	772.055287	8.571224	0.265442	0.000000	0.112836	0.264594	0.000000	-0.106112	0.264967	0.000000	-0.009858	1.980492	-0.396258
0.260000	-0.023550	339.812720	-18.479065	-3.038478	433.592610	27.070000	-3.062026	773.405348	8.590936	0.265764	0.000000	0.112870	0.265083	0.000000	-0.106166	0.265383	0.000000	-0.009925	1.970056	-0.393972
0.270000	-0.067364	339.834851	-18.430568	-3.290316	433.975355	27.058180	-3.357679	773.810223	8.627613	0.266168	0.000000	0.112893	0.265636	0.000000	-0.106227	0.265870	0.000000	-0.009994	1.961916	-0.386971
0.280000	-0.220629	339.421298	-18.357975	-3.590255	433.759012	27.038846	-3.810883	773.180325	8.680870	0.266640	0.000000	0.112925	0.266223	0.000000	-0.106291	0.266406	0.000000	-0.010055	1.956849	-0.378184
0.290000	-0.502814	338.574498	-18.265675	-3.921460	432.956802	27.006528	-4.424274	771.531313	8.740851	0.267176	0.000000	0.112992	0.266824	0.000000	-0.106352	0.266978	0.000000	-0.010095	1.955276	-0.370215
0.300000	-0.914661	337.339893	-18.161784	-4.271369	431.630443	26.950045	-5.186030	768.970346	8.788259	0.267777	0.000000	0.113120	0.267428	0.000000	-0.106406	0.267579	0.000000	-0.010102	1.956696	-0.364403
0.310000	-1.431681	335.789770	-18.054745	-4.631798	429.880474	26.855338	-6.063481	765.670251	8.800593	0.268436	0.000000	0.113323	0.268027	0.000000	-0.106454	0.268203	0.000000	-0.010070	1.959373	-0.360541
0.320000	-2.005423	334.011445	-17.949202	-4.996568	427.832133	26.710893	-7.001992	761.843581	8.761692	0.269137	0.000000	0.113599	0.268616	0.000000	-0.106500	0.268842	0.000000	-0.010004	1.960628	-0.357369
0.330000	-2.573806	332.103994	-17.843890	-5.358092	425.619614	26.513150	-7.931900	757.723609	8.669263	0.269850	0.000000	0.113929	0.269185	0.000000	-0.106550	0.269474	0.000000	-0.009916	1.957723	-0.353562
0.340000	-3.077055	330.179003	-17.733037	-5.705266	423.372194	26.269477	-8.782321	753.551198	8.536442	0.270536	0.000000	0.114286	0.269718	0.000000	-0.106607	0.270075	0.000000	-0.009820	1.948993	-0.348636
0.350000	-3.472542	328.357185	-17.610591	-6.024215	421.204209	25.997972	-9.496757	749.561396	8.387383	0.271149	0.000000	0.114632	0.270194	0.000000	-0.106670	0.270613	0.000000	-0.009726	1.934683	-0.343284
0.360000	-3.742406	326.756766	-17.474861	-6.301419	419.208732	25.724814	-10.043824	745.965500	8.249954	0.271652	0.000000	0.114936	0.270592	0.000000	-0.106735	0.271059	0.000000	-0.009637	1.917070	-0.338992
0.370000	-3.891643	325.477749	-17.331197	-6.526836	417.454040	25.480083	-10.418478	742.931788	8.148886	0.272017	0.000000	0.115169	0.270900	0.000000	-0.106793	0.271393	0.000000	-0.009552	1.899771	-0.337246
0.380000	-3.939149	324.591577	-17.191581	-6.694707	415.982905	25.292367	-10.633856	740.574475	8.100785	0.272233	0.000000	0.115314	0.271112	0.000000	-0.106835	0.271607	0.000000	-0.009467	1.886495	-0.338806
0.390000	-3.907044	324.143640	-17.071691	-6.801870	414.815706	25.182340	-10.708915	738.959334	8.110647	0.272306	0.000000	0.115367	0.271230	0.000000	-0.106857	0.271706	0.000000	-0.009377	1.879746	-0.343395
0.400000	-3.813426	324.167561	-16.987096	-6.845685	413.957433	25.156411	-10.659113	738.124977	8.169313	0.272254	0.000000	0.115333	0.271261	0.000000	-0.106858	0.271700	0.000000	-0.009275	1.880024	-0.349828
0.410000	-3.670827	324.701266	-16.950395	-6.823988	413.405886	25.202954	-10.494817	738.107135	8.252556	0.272108	0.000000	0.115230	0.271205	0.000000	-0.106843	0.271603	0.000000	-0.009148	1.885837	-0.356464
0.420000	-3.489011	325.791817	-16.970323	-6.737560	413.155784	25.293869	-10.226573	738.947585	8.323543	0.271896	0.000000	0.115085	0.271061	0.000000	-0.106815	0.271429	0.000000	-0.008979	1.894463	-0.361812
0.430000	-3.278529	327.481273	-17.052523	-6.593331	413.194063	25.392390	-9.871862	740.675323	8.339865	0.271645	0.000000	0.114926	0.270826	0.000000	-0.106780	0.271187	0.000000	-0.008752	1.903086	-0.365116
0.440000	-3.051735	329.776819	-17.200557	-6.405855	413.486692	25.464674	-9.457590	743.263499	8.264113	0.271371	0.000000	0.114779	0.270507	0.000000	-0.106738	0.270889	0.000000	-0.008451	1.909786	-0.366696
0.450000	-2.820398	332.619036	-17.415588	-6.195696	413.964516	25.490253	-9.016093	746.583538	8.074663	0.271084	0.000000	0.114657	0.270123	0.000000	-0.106685	0.270550	0.000000	-0.008071	1.914018	-0.367821
0.460000	-2.591711	335.866247	-17.694197	-5.985211	414.519705	25.466895	-8.576920	750.385934	7.772696	0.270783	0.000000	0.114561	0.269704	0.000000	-0.106613	0.270186	0.000000	-0.007618	1.916495	-0.370096
0.470000	-2.365814	339.307177	-18.025292	-5.793458	415.020862	25.408477	-8.159272	754.328019	7.383183	0.270468	0.000000	0.114481	0.269287	0.000000	-0.106516	0.269818	0.000000	-0.007110	1.918640	-0.374650
0.480000	-2.137334	342.700761	-18.387959	-5.632278	415.344522	25.337981	-7.769612	758.045264	6.950022	0.270137	0.000000	0.114400	0.268900	0.000000	-0.106392	0.269459	0.000000	-0.006577	1.921942	-0.381590
0.490000	-1.901218	345.828013	-18.751938	-5.504931	415.409960	25.279118	-7.406150	761.237959	6.527180	0.269795	0.000000	0.114309	0.268560	0.000000	-0.106251	0.269121	0.000000	-0.006053	1.927461	-0.390054
0.500000	-1.660550	348.534578	-19.081480	-5.407448	415.200334	25.249314	-7.068000	763.734906	6.167833	0.269455	0.000000	0.114204	0.268267	0.000000	-0.106110	0.268810	0.000000	-0.005570	1.935580	-0.398796
0.510000	-1.432074	350.747452	-19.342143	-5.331819	414.759088	25.255288	-6.763895	765.506544	5.913146	0.269139	0.000000	0.114093	0.268009	0.000000	-0.105987	0.268528	0.000000	-0.005150	1.945943	-0.406934
0.520000	-1.245354	352.462164	-19.509034	-5.269717	414.162741	25.291562	-6.515073	766.624919	5.782530	0.268874	0.000000	0.113991	0.267772	0.000000	-0.105898	0.268281	0.000000	-0.004803	1.957523	-0.414387
0.530000	-1.134095	353.710311	-19.574103	-5.215592	413.482842	25.341998	-6.349689	767.193173	5.767898	0.268686	0.000000	0.113911	0.267547	0.000000	-0.105846	0.268075	0.000000	-0.004530	1.968823	-0.421788
0.540000	-1.122349	354.525345	-19.549667	-5.167989	412.754885	25.384142	-6.290340	767.280252	5.834479	0.268585	0.000000	0.113859	0.267335	0.000000	-0.105823	0.267915	0.000000	-0.004319	1.978240	-0.429991
