Frame number,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First frame,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point frequency,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog frequency,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
Time,L_IAS_X,L_IAS_Y,L_IAS_Z,L_IPS_X,L_IPS_Y,L_IPS_Z,R_IPS_X,R_IPS_Y,R_IPS_Z,R_IAS_X,R_IAS_Y,R_IAS_Z,L_FTC_X,L_FTC_Y,L_FTC_Z,L_FLE_X,L_FLE_Y,L_FLE_Z,L_FME_X,L_FME_Y,L_FME_Z,L_FAX_X,L_FAX_Y,L_FAX_Z,L_TTC_X,L_TTC_Y,L_TTC_Z,L_FAL_X,L_FAL_Y,L_FAL_Z,L_TAM_X,L_TAM_Y,L_TAM_Z,L_FCC_X,L_FCC_Y,L_FCC_Z,L_FM1_X,L_FM1_Y,L_FM1_Z,L_FM2_X,L_FM2_Y,L_FM2_Z,L_FM5_X,L_FM5_Y,L_FM5_Z,R_FTC_X,R_FTC_Y,R_FTC_Z,R_FLE_X,R_FLE_Y,R_FLE_Z,R_FME_X,R_FME_Y,R_FME_Z,R_FAX_X,R_FAX_Y,R_FAX_Z,R_TTC_X,R_TTC_Y,R_TTC_Z,R_FAL_X,R_FAL_Y,R_FAL_Z,R_TAM_X,R_TAM_Y,R_TAM_Z,R_FCC_X,R_FCC_Y,R_FCC_Z,R_FM1_X,R_FM1_Y,R_FM1_Z,R_FM2_X,R_FM2_Y,R_FM2_Z,R_FM5_X,R_FM5_Y,R_FM5_Z
0,541.076,654.122,966.625,367.953,572.936,986.04,372.487,493.047,979.23,536.93,411.251,965.348,463.961,716.326,823.384,447.894,660.599,481.846,0,0,0,408.935,668.885,444.152,449.373,623.591,409.155,293.932,633.694,85.391,0,0,0,239.077,591.074,68.3559,439.108,589.338,40.3371,0,0,0,404.58,659.786,27.4198,530.734,361.461,814.133,644.131,396.507,494.575,0,0,0,627.164,391.347,455.659,668.065,432.533,427.854,551.65,421.982,83.8804,0,0,0,508.118,467.423,66.3445,702.216,448.749,53.1164,0,0,0,659.618,389.256,35.0195
0.01,539.002,654.592,964.042,367.18,572.23,984.425,371.91,492.393,977.346,536.938,411.575,963.293,461.134,716.545,822.219,439.018,660.579,481.03,0,0,0,399.33,668.618,443.912,439.182,623.568,408.271,278.833,632.876,86.9407,0,0,0,223.955,590.083,70.5821,423.529,589.214,40.2729,0,0,0,388.729,659.443,27.6593,531.589,361.501,812.685,644.998,397.105,493.587,0,0,0,629.85,391.986,454.387,672.008,433.608,428.462,582.752,418.867,77.4987,0,0,0,539.833,463.705,56.6531,734.66,448.022,56.8012,0,0,0,694.498,387.735,36.3544
0.02,538.466,654.817,962.178,366.441,571.403,982.414,371.391,491.646,975.043,537.126,411.783,961.02,458.385,716.798,821.031,430.405,661.435,479.893,0,0,0,389.544,668.415,443.772,429.033,623.663,407.394,263.838,632.073,88.5049,0,0,0,208.943,589.001,73.084,408.035,589.119,40.1931,0,0,0,372.791,658.943,27.9524,531.982,361.609,810.506,645.447,399.111,491.69,0,0,0,632.24,392.555,452.77,675.665,434.473,428.622,613.278,415.774,73.0749,0,0,0,570.886,459.379,49.406,765.787,447.776,62.1337,0,0,0,728.227,386.635,39.3376
0.03,537.509,655.036,959.975,365.888,570.492,980.096,369.592,490.55,973.489,537.454,411.877,958.516,455.579,717.254,819.834,421.233,660.815,479.469,0,0,0,380.124,668.534,443.988,419.138,623.836,406.607,248.83,631.051,90.1049,0,0,0,194.016,587.956,75.7833,392.268,589.115,40.2738,0,0,0,356.237,658.245,26.7894,531.836,361.775,807.563,645.884,400.145,489.367,0,0,0,634.76,392.935,450.82,679.15,435.595,428.427,642.4,412.938,70.6451,0,0,0,600.938,455.718,44.1679,795.015,448.091,69.1558,0,0,0,760.236,386.172,44.2574
0.04,536.78,655.149,957.76,364.651,569.24,977.797,370.425,489.574,970.432,537.844,411.789,955.833,452.814,717.559,818.582,412.629,661.17,478.88,0,0,0,371.126,668.675,444.324,409.517,624.069,405.881,233.968,630.426,92.166,0,0,0,179.174,587.141,78.7993,376.641,588.97,40.1802,0,0,0,340.063,657.973,26.9756,531.346,362.062,803.815,646.664,400.829,486.688,0,0,0,637.845,393.083,448.971,682.388,436.65,428.17,669.969,410.727,70.0953,0,0,0,629.309,452.518,41.0648,821.712,448.971,77.9434,0,0,0,789.817,386.293,51.1262
0.05,536.148,655.09,955.473,365.417,568.764,974.996,370.44,488.897,967.639,538.511,411.452,953.088,450.079,717.658,817.261,404.522,661.695,478.211,0,0,0,362.436,668.854,444.461,400.334,624.516,405.139,219.283,630.171,94.4027,0,0,0,164.386,586.776,82.0512,360.931,588.789,39.9653,0,0,0,323.96,657.392,26.6744,530.662,362.218,799.657,647.345,401.334,484.114,0,0,0,640.704,393.098,447.589,685.276,437.799,428.06,694.85,408.962,71.0897,0,0,0,655.307,449.83,39.284,845.385,450.296,87.5911,0,0,0,816.604,386.778,59.5177
0.06,535.966,654.938,953.267,363.12,566.949,972.94,371.292,487.785,964.666,539.242,410.987,950.231,447.358,717.688,815.954,396.973,662.262,477.426,0,0,0,354.355,668.947,444.461,391.888,624.928,404.174,204.841,630.278,96.8792,0,0,0,149.834,586.916,85.6839,345.256,588.675,39.8972,0,0,0,308.083,657.298,26.8664,530.116,362.17,795.293,648.088,401.565,482.232,0,0,0,643.145,393.101,446.809,687.934,438.8,428.569,716.975,407.665,73.0311,0,0,0,678.426,447.646,38.9206,865.773,452.194,97.4131,0,0,0,839.97,388.12,67.6664
0.07,536.183,654.31,951.054,365.543,565.995,969.13,371.17,487.112,962.017,540.085,410.542,947.425,444.837,717.521,814.563,390.238,662.775,476.35,0,0,0,346.918,668.944,444.121,384.177,625.503,403.06,190.545,630.821,99.5952,0,0,0,135.367,587.535,89.6463,329.536,588.685,39.902,0,0,0,292.244,657.208,27.0344,529.936,361.909,791.475,649.799,401.726,481.577,0,0,0,645.934,393.111,446.478,690.481,439.837,429.657,736.089,407.393,75.4233,0,0,0,697.892,445.991,39.4765,882.451,454.257,106.189,0,0,0,859.431,389.773,74.8707
0.08,536.055,654.272,948.557,365.17,564.54,967.825,372.174,485.912,959.783,540.919,410.127,944.754,442.646,717.126,812.984,384.473,663.392,475.181,0,0,0,340.263,668.888,443.472,377.164,626.098,401.688,176.503,631.828,102.627,0,0,0,121.172,588.701,94.0765,313.727,588.756,39.8759,0,0,0,276.558,657.327,27.2751,530.473,361.289,788.504,652.135,402.23,481.589,0,0,0,648.992,393.208,446.226,693.09,440.433,430.752,750.538,407.29,77.4326,0,0,0,713.107,444.679,40.3319,895.282,456.203,112.593,0,0,0,874.383,391.493,80.2778
